Top queries,Clicks,Impressions,CTR,Position
number guessing game python,5223,14578,35.83%,1.61
thecleverprogrammer,2809,3456,81.28%,1.02
python projects with source code,2077,73380,2.83%,5.94
classification report in machine learning,2012,4959,40.57%,1.28
the clever programmer,1931,2528,76.38%,1.09
standard scaler in machine learning,1559,7292,21.38%,1.53
aman kharwal,1490,5752,25.9%,3.75
python turtle graphics code,1455,13585,10.71%,4.6
python game projects with source code,1421,4946,28.73%,2.23
82 python projects with source code,1343,3562,37.7%,1.32
guess the number python,1287,4569,28.17%,2.36
clever programmer,1243,21566,5.76%,4.82
car price prediction using machine learning,1200,7072,16.97%,3.48
aman kharwal data science mentor,1155,2721,42.45%,1.24
random_state=42,1113,5669,19.63%,3.51
rock paper scissors python,1111,35824,3.1%,7.19
applications of unsupervised learning,1099,5038,21.81%,2.78
stress detection using machine learning,1091,4331,25.19%,3.21
python number guessing game,1027,3805,26.99%,2.09
guessing game python,978,5611,17.43%,2.73
hangman game in python,958,9120,10.5%,5.48
classification report,933,39896,2.34%,7.53
guess the number game python,930,4431,20.99%,2.55
earthquake prediction using machine learning,920,3290,27.96%,3.19
python card game,892,2216,40.25%,1.11
application of unsupervised learning,814,3901,20.87%,2.1
unemployment analysis with python,793,1596,49.69%,1.05
alexnet python,772,1733,44.55%,1.57
house price prediction,758,11695,6.48%,6.93
fake currency detection using machine learning,748,3160,23.67%,2.59
book recommendation system,745,9054,8.23%,5.48
rock paper scissors python code copy and paste,740,1948,37.99%,2.05
r2 score machine learning,716,5132,13.95%,3.14
longest common prefix python,710,5166,13.74%,5.2
machine learning roadmap,708,42715,1.66%,8.97
how to find accuracy of a model in python,701,2502,28.02%,2
pandas datareader,662,26663,2.48%,5.82
number guessing game in python,655,2178,30.07%,1.91
classification report machine learning,629,1330,47.29%,1.08
guessing game in python,620,2227,27.84%,2.01
word cloud python pandas,611,1370,44.6%,1.26
unsupervised learning applications,575,4623,12.44%,3.13
standardscaler in machine learning,558,2615,21.34%,1.66
random number guessing game python,553,1619,34.16%,2.06
python guessing game,541,3085,17.54%,2.69
card game python,538,1189,45.25%,1.1
r2 machine learning,537,1830,29.34%,2.31
best case time complexity,530,7845,6.76%,3.56
iris flower classification using python,522,1210,43.14%,1.03
online payment fraud detection using machine learning,517,2218,23.31%,2.01
facebook programming language,514,12163,4.23%,3.23
python graphics code,513,7509,6.83%,5.76
otp verification using python,507,1185,42.78%,1.47
image to array python,502,3007,16.69%,2.66
pandas_datareader,489,24689,1.98%,6.35
advanced python turtle code,487,1329,36.64%,1.27
how to make a number guessing game in python,482,1482,32.52%,2.28
card game in python,475,942,50.42%,1.03
what is classification report in machine learning,473,1295,36.53%,1.22
multinomial naive bayes,460,22766,2.02%,9.06
python maze solver,456,1384,32.95%,2.06
instagram reach analysis,452,1360,33.24%,1.6
product demand prediction with machine learning,449,940,47.77%,1.39
c++ functions practice problems,448,1529,29.3%,2.13
python guess the number,448,1268,35.33%,2.14
guessing number game python,443,1285,34.47%,2.27
egg catcher game python,436,866,50.35%,1.36
weather forecasting project in python,434,1296,33.49%,1.25
number guessing game python code,432,1274,33.91%,1.84
hotel recommendation system,406,1363,29.79%,1.65
instagram reach analysis and prediction,406,776,52.32%,1.07
python turtle graphics,397,22096,1.8%,7.73
fashion recommendation system,396,3006,13.17%,3.84
rock paper scissors game in python,392,10082,3.89%,7.45
python guess the number game,390,1957,19.93%,2.96
python image to array,384,2131,18.02%,2.7
sarcasm detection using machine learning,384,1119,34.32%,2.12
python project with source code,383,15191,2.52%,7.54
salary prediction using machine learning,380,2118,17.94%,4.19
colorama colors,379,3872,9.79%,4.56
aman kharwal data science projects,371,611,60.72%,1.12
python data types interview questions,368,997,36.91%,2.1
r2 score,367,56322,0.65%,9.33
python rock paper scissors,366,12226,2.99%,7.02
how to take multiple inputs in python using while loop,365,1139,32.05%,1.66
remove duplicates from sorted array python,360,1719,20.94%,4.91
guessing game python code,360,1071,33.61%,1.66
whatsapp chat analysis using python,356,1318,27.01%,2.6
guess number game in python,355,934,38.01%,2.12
pandas word cloud,353,802,44.01%,1.44
house rent prediction using machine learning,348,741,46.96%,1.09
facebook programming languages,346,36055,0.96%,1.58
tensor vs array,346,1637,21.14%,1.75
maze solver python,343,1164,29.47%,2.39
predictive and descriptive tasks in machine learning,343,922,37.2%,2.06
the card game code in python,341,509,66.99%,1
rock paper scissors python code,339,5804,5.84%,6.63
best case complexity,339,2579,13.14%,1.94
student grade prediction using machine learning,338,878,38.5%,1.99
turtle program in python,333,11338,2.94%,6.95
quiz game in python,332,2256,14.72%,4.43
what is r2 score in machine learning,331,3314,9.99%,3.13
classification report explained,330,2411,13.69%,3.92
hangman python code,329,4370,7.53%,7.87
python word cloud pandas,324,583,55.57%,1.04
sparse pca,322,6588,4.89%,7.01
next word prediction python,321,904,35.51%,1.33
datareader python,320,2645,12.1%,4.44
python turtle code,319,14405,2.21%,8.19
subarray c++,319,1613,19.78%,2.95
class balancing,318,879,36.18%,1.14
passive aggressive classifier,316,4877,6.48%,4.39
python game source code,315,2331,13.51%,4.59
missing number in array python,313,996,31.43%,1.98
find accuracy of model python,311,960,32.4%,1.83
python stock analysis,307,5307,5.78%,5.82
netflix recommendation system python,302,592,51.01%,1.04
convert image to array python,301,1847,16.3%,2.2
earthquake prediction model using python,301,885,34.01%,1.04
stock market analysis using python,300,1603,18.71%,3.95
data types in python interview questions,298,513,58.09%,1.18
facebook language code,291,8105,3.59%,3.12
neural network classification python,286,1774,16.12%,4.19
decode qr code python,282,1074,26.26%,1.87
guess game in python,281,856,32.83%,1.7
turtle python code,279,14161,1.97%,7.66
passive aggressive regressor,277,958,28.91%,2.13
car price prediction,276,6681,4.13%,6.23
statistics topics for data science,276,1899,14.53%,4.51
sequential search python,276,1820,15.16%,2.91
two sum python,275,5325,5.16%,7.2
mini batch k means,275,2338,11.76%,3.36
model accuracy python,274,711,38.54%,1.28
electricity price prediction using machine learning,274,673,40.71%,2.08
language detection using machine learning,274,660,41.52%,1.59
alexnet python code,274,556,49.28%,1.05
random_state = 42,270,1147,23.54%,2.91
python program to calculate number of seconds in a day,270,410,65.85%,1.02
python games with source code,268,2191,12.23%,5.42
house price prediction project,266,3773,7.05%,7.02
how to find the accuracy of a model in python,265,1271,20.85%,2.19
find missing number in array python,265,867,30.57%,2.19
python number guessing game code,265,614,43.16%,1.66
subarray in c++,261,2146,12.16%,3.52
how to make a guessing game in python,260,1135,22.91%,2.61
bernoulli naive bayes,256,7425,3.45%,7.02
number guesser python,256,664,38.55%,1.94
missing number in python,255,629,40.54%,1.7
python case study,254,1990,12.76%,2.95
sequential search in python,253,1295,19.54%,2.42
smart watch data analysis,252,561,44.92%,1.02
text to handwriting python,248,528,46.97%,1.22
instagram reach analysis using python,248,484,51.24%,1.05
word cloud pandas,243,524,46.37%,1.46
how to calculate accuracy in python,242,862,28.07%,2.3
maze solving algorithm python,240,1462,16.42%,3.15
weather forecast project in python,235,1261,18.64%,2.51
alexnet code in python,235,407,57.74%,1.02
c++ grading system,234,460,50.87%,1.03
image to array,232,3454,6.72%,3.61
guess number python,231,812,28.45%,2.83
guess the number python code,230,1167,19.71%,3.34
time complexity calculator c++,230,1035,22.22%,3.31
movie data analysis using python,228,658,34.65%,1.13
hangman python,225,6120,3.68%,9.01
student marks prediction using machine learning,224,590,37.97%,1.38
how to calculate training accuracy in python,223,820,27.2%,1.47
text to handwriting,222,11283,1.97%,28.52
how to calculate the accuracy of a model in python,221,633,34.91%,1.79
pywhatkit text to handwriting,221,409,54.03%,1.17
python random number guessing game,220,573,38.39%,1.88
guess the number game in python,218,594,36.7%,1.76
functions in c++ practice questions,217,639,33.96%,2.04
text emotion detection using machine learning,217,546,39.74%,2.07
aman kharwal machine learning projects,215,639,33.65%,2.29
virat kohli python code,213,410,51.95%,1.04
python mini projects with source code,212,11876,1.79%,7.51
100 python projects,212,7423,2.86%,6.99
how to make a card game in python,212,395,53.67%,1.04
how to get accuracy of a model in python,211,1030,20.49%,2.61
classification_report,210,24917,0.84%,8.34
twitter sentiment analysis python,210,6356,3.3%,9.34
best case worst case and average case,210,5424,3.87%,4.59
flower detection using python,210,471,44.59%,1.34
card game python code,210,432,48.61%,1
wordcloud pandas,209,510,40.98%,1.48
pandas wordcloud,209,504,41.47%,1.61
egg catcher game,207,2308,8.97%,3.82
cryptocurrency price prediction using machine learning python,207,839,24.67%,2.63
accuracy code in python,205,465,44.09%,2.08
game project in python with source code,203,730,27.81%,2.25
best time to buy and sell stock python,202,1030,19.61%,3.04
neural network for classification python,201,987,20.36%,3.91
flower recognition,200,4839,4.13%,4.34
sales prediction using python,199,1788,11.13%,7.57
classification report in python,198,1229,16.11%,3.39
future sales prediction with machine learning,197,1368,14.4%,3.47
python decode qr code,197,625,31.52%,2.22
python story generator,196,2197,8.92%,3.82
python gui projects,195,4897,3.98%,8.3
human activity recognition using machine learning,195,3295,5.92%,7.15
weather forecasting using python,194,568,34.15%,1.65
gender classification python,194,555,34.95%,1.68
fundamentals of python,193,8926,2.16%,4.76
extract text from video python,192,1148,16.72%,4.78
netflix recommendation system project,192,383,50.13%,1.15
emotion detection from text using machine learning,191,644,29.66%,2.98
qr code decoder python,191,581,32.87%,1.66
machine learning r2,191,483,39.54%,1.7
predictive and descriptive model in machine learning,190,724,26.24%,1.83
python turtle graphics code examples,188,3927,4.79%,7.59
how to send otp to mobile number in python,188,387,48.58%,1.14
job recommendation system,187,1287,14.53%,4.24
python weather forecast,187,1111,16.83%,3.93
number guessing python,187,587,31.86%,1.89
stress detection using machine learning project,186,556,33.45%,2.03
end to end encryption python,186,381,48.82%,1.12
business analyst roadmap,185,4980,3.71%,7.97
r2 score in machine learning,184,1810,10.17%,2.9
performance evaluation in machine learning,184,1033,17.81%,4.16
find missing number in list python,184,732,25.14%,2.58
language detection machine learning,184,543,33.89%,2.8
contact book project in python,183,1990,9.2%,4.91
missing number python,183,464,39.44%,1.35
kernel pca in machine learning,181,2558,7.08%,5.96
number guessing project in python,181,736,24.59%,2.98
python authentication username and password,181,469,38.59%,1.37
whatsapp chat sentiment analysis,181,459,39.43%,1.4
guess the number game python code,180,668,26.95%,2.32
grading system c++ code,180,337,53.41%,1.03
article recommendation system,178,914,19.47%,2.25
grading system c++,178,325,54.77%,1.01
standardscaler,177,39267,0.45%,10.23
fashion recommendation system project,177,906,19.54%,3.03
ugly number in python,177,791,22.38%,3.87
how to make number guessing game in python,177,524,33.78%,2.27
otp verification in python,177,494,35.83%,1.71
image classification using ann,177,406,43.6%,2.36
python drawing code,174,5570,3.12%,8.04
cleverprogrammer,174,1651,10.54%,6.96
first unique character in a string python,174,851,20.45%,3.85
python qrcode decode,174,501,34.73%,2.17
price elasticity python,173,1546,11.19%,3.71
python games source code,172,1491,11.54%,5.21
descriptive learning in machine learning,172,484,35.54%,1.38
hotel recommendation system using machine learning,172,413,41.65%,1.45
accuracy of model python,172,360,47.78%,1.25
"create a classification model to predict the sentiment either (1 or 0) 
based on amazon alexa reviews",170,491,34.62%,2.47
email spam detection using machine learning source code,169,1002,16.87%,4.82
python guessing game code,169,459,36.82%,1.75
online payments fraud detection with machine learning,169,432,39.12%,2
guess random number python,167,445,37.53%,2.29
make a number guessing game in python,167,351,47.58%,1.5
decision boundary in machine learning,166,4015,4.13%,7.54
guess a number game in python,166,439,37.81%,1.95
accuracy python code,166,430,38.6%,2.03
aman kharwal python projects,165,1396,11.82%,3.21
job recommendation system project,165,506,32.61%,2.06
weather forecast using python,164,615,26.67%,2.25
weather prediction using machine learning python code,163,1043,15.63%,4.2
flipkart reviews sentiment analysis,162,573,28.27%,2.38
r2 in machine learning,161,1801,8.94%,3.87
next word prediction project,160,1309,12.22%,4.95
mean median mode in python,159,5767,2.76%,7.35
whatsapp sentiment analysis,159,456,34.87%,2.12
mobile price classification,158,1139,13.87%,3.42
tensor vs numpy array,158,944,16.74%,2.7
social media analysis project,158,577,27.38%,1.67
calculate accuracy python,157,1563,10.04%,3.32
hangman game code in python,157,912,17.21%,5.12
linear regression projects in python,157,433,36.26%,1.58
comparison of classification algorithms,157,364,43.13%,1.82
password authentication using python,157,345,45.51%,1.1
guess the number in python,155,552,28.08%,2.74
earthquake prediction model,154,561,27.45%,3.63
applications of unsupervised learning in machine learning,154,463,33.26%,2.12
next word prediction,153,2445,6.26%,7.53
c++ subarray,153,1312,11.66%,4.21
hangman code in python,153,1138,13.44%,5.32
class balancing in machine learning,153,442,34.62%,2.2
how to make a guess the number game in python,153,432,35.42%,2.37
weather forecast python,152,636,23.9%,2.73
python data types questions and answers,151,831,18.17%,3.72
accuracy in machine learning python,150,702,21.37%,2.1
car price prediction machine learning python,148,423,34.99%,1.84
text classification machine learning projects,148,347,42.65%,1.35
how to calculate accuracy in machine learning python,146,380,38.42%,1.37
python end to end encryption,146,288,50.69%,1.24
c++ code for grading system,146,254,57.48%,1.12
what is standard scaler in machine learning,145,1412,10.27%,2.75
energy consumption prediction python,145,694,20.89%,3.51
profit prediction using machine learning,145,453,32.01%,2.12
food delivery time prediction,144,984,14.63%,2.7
number guessing python project,144,866,16.63%,3.51
colorama fore colours,144,568,25.35%,1.9
functions practice questions in c++,144,492,29.27%,2.27
hangman game python,143,3129,4.57%,7.8
hate speech detection python code,143,959,14.91%,3.98
netflix recommendation algorithm code,143,366,39.07%,1.19
ann for image classification,142,662,21.45%,3.07
lstm stock prediction,141,5020,2.81%,11.34
facebook backend language,141,3744,3.77%,3.36
passiveaggressiveregressor,141,672,20.98%,2.62
stress detection using machine learning source code,141,553,25.5%,3.05
otp verification system using python,141,250,56.4%,1.48
r2 score python,140,4156,3.37%,5.7
predict next word in sentence python,140,386,36.27%,1.42
the clever programmer machine learning projects,140,181,77.35%,1
compare and contrast excel and python,139,4333,3.21%,5.35
age calculator in python,139,3084,4.51%,7.24
when to use standard scaler,139,748,18.58%,2.52
two sum problem python,138,1557,8.86%,6.95
r2_score in machine learning,138,510,27.06%,2.2
iris flower classification,137,4771,2.87%,7.45
colorama python colors,136,831,16.37%,3.38
social media ads classification,136,509,26.72%,1.06
employee attrition prediction using python,136,469,29%,1.84
python program to find missing number in array,136,443,30.7%,2.4
guess number game python,136,423,32.15%,2.54
book recommendation system using machine learning,135,1229,10.98%,4.95
how amazon uses data science,135,589,22.92%,2.82
how to use pandas datareader,135,237,56.96%,1.35
guess the number program in python,134,602,22.26%,3.16
social media ads classification with machine learning,134,239,56.07%,1.14
defang ip address,133,1901,7%,4.07
python hangman code,133,1718,7.74%,7.82
multiclass and multilabel classification,133,1298,10.25%,4.73
python code for number guessing game,133,317,41.96%,1.76
stock market data analysis using python,132,1186,11.13%,4.95
thecleverprogrammer.com,132,214,61.68%,1
classification report python,131,3724,3.52%,6.08
contact book python project,131,1620,8.09%,5.23
grading system in c++,131,230,56.96%,1.03
extract text from pdf python,130,7806,1.67%,11.35
what is r2 score,130,5959,2.18%,7.34
price elasticity of demand python,129,1316,9.8%,3.12
currency exchange rate prediction with machine learning,129,273,47.25%,1.45
turtle graphics in python,128,5776,2.22%,7.03
spotify recommendation system,128,2644,4.84%,7.48
r2 score in python,128,1259,10.17%,3.78
rainfall prediction using machine learning python code,128,746,17.16%,3.62
interview questions on data types in python,128,266,48.12%,1.81
random number game python,127,585,21.71%,2.95
apriori algorithm python,126,4178,3.02%,11.44
number of orders prediction with machine learning,126,227,55.51%,1.01
facebook coding language,125,3004,4.16%,3.09
machine learning projects for resume,125,2934,4.26%,7.95
stock analysis python,125,1601,7.81%,5.65
c++ function questions,125,462,27.06%,2.78
customer personality analysis,124,2682,4.62%,7.14
randomized pca in machine learning,124,1139,10.89%,3.27
how to print accuracy of model in python,124,962,12.89%,3.88
python fundamentals,123,11164,1.1%,10.9
simple python projects with source code,123,5593,2.2%,6.23
two sum solution python,123,1198,10.27%,5.79
book recommendation system project,123,1158,10.62%,5.26
ann image classification,123,418,29.43%,2.3
roman to decimal python,123,401,30.67%,2.91
how to make guessing game in python,123,383,32.11%,2.11
number guess game in python,123,311,39.55%,1.75
mobile price classification using machine learning,123,286,43.01%,2.25
typing speed test in python with gui,123,240,51.25%,1.11
games in python with source code,122,816,14.95%,4.83
python card game code,122,212,57.55%,1.02
stock price prediction using lstm,121,2765,4.38%,10.02
python quiz game,121,2605,4.64%,6.43
python username and password program,121,2384,5.08%,6.8
find the missing number in python using for loop,121,319,37.93%,1.09
alarm clock using python,120,2641,4.54%,6.28
agglomerative clustering in machine learning,120,1923,6.24%,6.06
email slicer python project,120,1272,9.43%,4.51
hangman game python code,120,1180,10.17%,6.9
best case analysis of algorithm,120,1011,11.87%,3.18
sub array c++,120,847,14.17%,3.91
number guessing game using python,120,256,46.88%,1.64
random_state=42 in python,119,1043,11.41%,3.47
social media analytics projects,119,607,19.6%,2.7
python qr code decoder,119,427,27.87%,2.23
find missing number in python,119,278,42.81%,1.83
alexnet architecture python code,119,193,61.66%,1.02
language detection python,118,4448,2.65%,8.72
data science research topics,118,1718,6.87%,23.6
difference between multiclass and multilabel classification,118,1580,7.47%,4.53
python rock paper scissors code,118,1286,9.18%,6.69
house price prediction project in python,118,1244,9.49%,5.53
c++ grade calculator,118,415,28.43%,2.12
classification neural network python,118,415,28.43%,3.12
random number guesser python,118,318,37.11%,2.23
python projects for resume,117,9880,1.18%,12.6
explained variance score,117,3550,3.3%,7.05
minibatchkmeans,116,7348,1.58%,5.46
web.datareader,116,3412,3.4%,6.12
house price prediction project in python source code,116,825,14.06%,5.55
spotify recommendation system using machine learning,116,307,37.79%,2.27
screen time analysis using python,116,214,54.21%,1
defanging an ip address,115,1528,7.53%,3.93
hangman game using python,115,657,17.5%,4.85
python generate text,115,358,32.12%,2.59
python turtle codes,114,5480,2.08%,8.59
pandas data reader,114,4534,2.51%,4.99
hangman in python,114,2568,4.44%,8.58
grade program in c++,114,359,31.75%,1.92
find the missing number in python,114,353,32.29%,2.12
guessing number game in python,114,246,46.34%,1.8
linear regression projects in python with source code,114,241,47.3%,1.3
card games in python,114,237,48.1%,1.02
card game code python,114,193,59.07%,1
rock paper scissors in python,113,4648,2.43%,7.59
how to label data for sentiment analysis,113,4227,2.67%,5.31
random_state=42 meaning,113,1731,6.53%,4.48
c++ grade,113,334,33.83%,1.17
subarray function in c++,113,286,39.51%,1.79
free python projects with source code,112,3542,3.16%,8.03
mnist digit classification machine learning project,112,568,19.72%,4.88
stress detection project,112,362,30.94%,2.48
smartwatch data analysis,112,249,44.98%,1.27
whatsapp chat analysis,111,1890,5.87%,8.05
emotion detection from text python,111,591,18.78%,4.27
age calculator c++,111,497,22.33%,3
python otp verification,111,210,52.86%,1.47
quiz game python,110,1250,8.8%,5.82
guessing the number game in python,110,271,40.59%,1.73
python text to handwriting,110,190,57.89%,1.23
classification report sklearn,109,22969,0.47%,9.08
c++ function programs for practice,109,562,19.4%,2.84
python guess number game,109,502,21.71%,2.87
google search analysis with python,109,459,23.75%,2.11
next word prediction using python,109,242,45.04%,1.32
machine learning r2 score,109,239,45.61%,1.35
scrape table from website python,108,2024,5.34%,6.96
movie rating prediction with python,108,371,29.11%,2.22
uber trip analysis using python,108,213,50.7%,1.24
pandas-datareader,107,5231,2.05%,6.37
how to connect model input data with predictions for machine learning,107,380,28.16%,1.16
test_size=0.2 random_state=42 meaning,107,374,28.61%,2.43
how to calculate model accuracy in python,107,259,41.31%,1.54
weather forecasting project,106,1851,5.73%,6.84
rfm analysis python,106,1061,9.99%,6.29
guess game python,106,357,29.69%,2.62
insurance prediction with machine learning,106,318,33.33%,2.36
number guessing in python,106,314,33.76%,2.07
turtle code in python,105,3326,3.16%,7.75
earthquake prediction machine learning,105,710,14.79%,6.6
deepfake detection python code,105,556,18.88%,3.88
how to calculate accuracy python,105,311,33.76%,2.23
two sum in python,104,1146,9.08%,6.53
bernoulli naive bayes python,104,735,14.15%,2.61
quiz game python code,104,735,14.15%,4.84
screen time analysis,104,513,20.27%,1.99
restaurant recommendation system python code,104,254,40.94%,1.03
facebook language programming,103,2006,5.13%,1.78
c++ grading system source code,103,349,29.51%,2.7
recommendation system project ideas,102,1067,9.56%,5.84
remove duplicates from sorted array in python,102,340,30%,3.77
classification using neural network python,102,248,41.13%,2.2
hotel recommendation system project in python,102,207,49.28%,1.04
twitter sentiment analysis project,101,4029,2.51%,10.57
python algorithm interview questions,101,916,11.03%,4.61
diamond price prediction using machine learning,101,581,17.38%,4.73
price elasticity model in python,101,483,20.91%,4.17
car price prediction machine learning,101,410,24.63%,3.73
how to create a guessing game in python,101,335,30.15%,1.92
weather prediction using python,101,308,32.79%,1.96
python decode qrcode,101,290,34.83%,2.38
food delivery time prediction using python,101,216,46.76%,1.16
python age calculator,100,2801,3.57%,6.58
hangman game in python code,100,607,16.47%,5.27
grade calculator c++,100,399,25.06%,2.26
alexnet in python,100,176,56.82%,1.02
sarcasm detection,99,2139,4.63%,4.49
stress detection,99,1701,5.82%,4.76
autots python,99,1567,6.32%,6.79
netflix data analysis project,99,1205,8.22%,5.94
array vs tensor,99,440,22.5%,1.62
guess my number python,99,288,34.38%,2.89
weather prediction project in python,99,241,41.08%,1.22
stone paper scissors game in python,98,3664,2.67%,7.5
how to scrape table from website using python,98,607,16.14%,5.97
music recommendation system using spotify dataset,98,590,16.61%,4.26
plus one leetcode solution python,98,541,18.11%,5.78
how to make a random number guessing game in python,98,261,37.55%,2.05
rock paper scissors code python,97,1423,6.82%,6.75
stock analysis using python,97,615,15.77%,4.93
guess number in python,97,348,27.87%,2.75
stress detection using python,97,214,45.33%,1.52
multiclass vs multilabel,96,7617,1.26%,5.85
passiveaggressiveclassifier,96,2784,3.45%,4.32
car price prediction using machine learning project,96,402,23.88%,2.42
python neural network classification,96,397,24.18%,3.47
music player gui with python,96,296,32.43%,2.52
how to create a number guessing game in python,96,257,37.35%,1.9
c++ calculator,95,10370,0.92%,9.9
how to make rock paper scissors in python,95,4845,1.96%,7.42
job recommendation system using machine learning,95,528,17.99%,4.47
c++ age calculator,95,319,29.78%,2.31
car price prediction with machine learning,95,276,34.42%,2.65
autots,94,5088,1.85%,8.63
what is standardscaler in machine learning,94,773,12.16%,2.69
what is best case complexity,94,730,12.88%,1.89
game source code in python,94,548,17.15%,3.75
weather forecast in python,94,305,30.82%,1.97
descriptive machine learning,94,285,32.98%,1.75
