Top queries,Clicks,Impressions,CTR,Position
sales prediction using machine learning python,93,1000,9.3%,6.71
book recommendation system python,93,265,35.09%,6.45
amazon alexa reviews sentiment analysis,93,259,35.91%,2.28
real time currency converter in python,92,1069,8.61%,5.32
electricity price prediction,92,429,21.45%,5.48
mobile otp verification in python,92,244,37.7%,1.55
accuracy of a model in python,92,198,46.46%,1.36
explained variance,91,11786,0.77%,8.7
alexnet code,91,1620,5.62%,6.4
how to convert image to array in python,91,682,13.34%,2.5
story generator in python,91,451,20.18%,2.96
guessing number in python,91,287,31.71%,2.5
car price prediction using machine learning with python,91,190,47.89%,1.04
how to take multiple inputs in python using for loop,90,2949,3.05%,7.65
rock paper scissors game python,90,2855,3.15%,7.29
hangman project,90,1287,6.99%,4.29
difference between tensor and numpy array,90,539,16.7%,2.98
longest common prefix in python,90,461,19.52%,5.02
pandas count words in column,90,345,26.09%,2.06
how to code a number guessing game in python,90,274,32.85%,2.12
restaurant recommendation system,89,1445,6.16%,8.01
contact book in python,89,635,14.02%,4.36
user authentication in python,89,312,28.53%,2.53
guess a number python,89,300,29.67%,2.87
standardscaler in python,88,7628,1.15%,9.02
netflix recommendation system,88,5635,1.56%,9.77
what language is google written in,88,3834,2.3%,2.23
deep learning topics,88,3510,2.51%,9.8
python datareader,88,726,12.12%,5.01
best case analysis,88,693,12.7%,1.89
case study in python,88,611,14.4%,3.25
amazon product review sentiment analysis project,88,419,21%,3.99
guessing game code,88,404,21.78%,1.73
earthquake detection using machine learning,88,304,28.95%,3.37
python source code,87,12983,0.67%,11.97
python extract text from pdf,87,5855,1.49%,11.12
binary classification in machine learning,87,4811,1.81%,10.2
python otp sms,87,568,15.32%,1.66
instagram recommendation system,87,446,19.51%,3.5
netflix movie recommendation system project,87,390,22.31%,3.63
number guessing game code,87,319,27.27%,1.91
sequential search program in python,87,286,30.42%,2.1
standard scaler,86,17800,0.48%,9.68
how to check model accuracy in python,86,567,15.17%,3.69
fashion recommendation system using machine learning,86,499,17.23%,3.09
plus one python,86,459,18.74%,2.85
how to check the accuracy of a model in python,86,441,19.5%,3.36
text emotion detection python,86,391,21.99%,3.81
how to calculate accuracy in python code,86,371,23.18%,2.38
automate instagram messages using python,86,281,30.6%,1.66
calculate accuracy in python,86,262,32.82%,2.06
simple python projects for beginners with source code,85,6637,1.28%,6.97
application of unsupervised learning includes,85,5405,1.57%,5.02
sales prediction using machine learning,85,3373,2.52%,14.3
datareader pandas,85,973,8.74%,4.42
python colorama colors,85,814,10.44%,3.68
student grade prediction,85,473,17.97%,3.11
weather forecasting using python project report,85,400,21.25%,3.55
function questions in c++,85,374,22.73%,3.28
c++ functions practice problems with answers,85,236,36.02%,2.18
news recommendation system python,85,218,38.99%,1.88
python card games,85,171,49.71%,1.09
caterpillar game python,85,140,60.71%,1
machine learning projects using python,84,3203,2.62%,8.29
best case average case and worst case,84,1706,4.92%,4.91
sales prediction using machine learning python code,84,1171,7.17%,8.04
house rent prediction,84,559,15.03%,3.37
colorama color list,84,507,16.57%,2.46
statistics for data science topics,84,443,18.96%,3.44
classification report adalah,84,269,31.23%,1.62
delete duplicate emails sql,84,240,35%,4.1
calculate accuracy of model python,84,212,39.62%,1.64
number guess game python,84,200,42%,1.67
sequential search algorithm python,84,192,43.75%,1.26
python graphics programming examples,83,1543,5.38%,8.42
facebook programming code,83,1327,6.25%,2.35
random number guessing game,83,470,17.66%,2.21
single number python,83,320,25.94%,3.27
implement a sequential search in python,83,299,27.76%,2.51
weather forecast python code,83,264,31.44%,2.42
c++ program to calculate age from year of birth and current year,82,724,11.33%,4.18
clever programmer python,82,589,13.92%,4.71
python convert image to array,82,521,15.74%,2.2
random story generator python,82,460,17.83%,2.94
python code for quiz game,82,412,19.9%,4.15
accuracy calculation python,82,185,44.32%,1.57
python projects for beginners with source code,81,4934,1.64%,5.63
data science project report,81,884,9.16%,4.18
future sales prediction,81,789,10.27%,5.28
lstm stock price prediction python,81,705,11.49%,7.08
quiz game using python,81,667,12.14%,5.9
employees earning more than their managers,81,519,15.61%,5.13
pdr.datareader,81,512,15.82%,4.36
online transaction fraud detection,80,3559,2.25%,8.73
python turtle program,80,2749,2.91%,7.81
desktop notifier app in python,80,2202,3.63%,7.81
python alarm clock,80,2136,3.75%,6.89
check accuracy of model in python,80,772,10.36%,3.42
language detection using python,80,519,15.41%,4.75
how to access mobile camera using python,80,266,30.08%,1.67
function practice problems c++,80,220,36.36%,2.16
amazon recommendation system project,80,189,42.33%,1.98
accuracy model python,80,167,47.9%,1.43
age calculator python,79,1571,5.03%,6.89
simple python quiz code with score,79,1394,5.67%,7.93
worst case analysis of algorithm,79,1203,6.57%,4.58
mini-batch k-means,79,630,12.54%,3.58
correlation vs variance,79,557,14.18%,2.01
python longest common prefix,79,544,14.52%,5.02
keyword research with python,79,418,18.9%,2.91
how to get the accuracy of a model in python,79,301,26.25%,2.43
accelerometer data analysis python,79,178,44.38%,2.1
guess the number python game,79,134,58.96%,1.67
google programming languages,78,3170,2.46%,5.58
python turtle programs,78,3040,2.57%,8.56
multinomial naive bayes algorithm,78,2505,3.11%,7.51
python code for rock paper scissors,78,1752,4.45%,6.92
age calculator in c++,78,315,24.76%,3.03
weather forecast python project,78,286,27.27%,2.34
python qr decoder,78,244,31.97%,2.15
python guessing number game,78,232,33.62%,2.47
datareader in python,78,170,45.88%,1.5
send instagram message using python,78,133,58.65%,1
python code for random number guessing game,78,124,62.9%,1.33
stock price analysis python,77,376,20.48%,4.15
weather prediction python,77,243,31.69%,2.25
practice questions for functions in c++,77,235,32.77%,2.09
hotel review sentiment analysis python,77,226,34.07%,2.45
job recommendation system python code,77,184,41.85%,1.48
ann code for image classification in python,77,161,47.83%,1.91
python speedtest,76,3157,2.41%,8.42
variance covariance and correlation,76,411,18.49%,4.65
python case study examples,76,401,18.95%,1.96
contact book using python,76,327,23.24%,4.02
function in c++ practice problems,76,311,24.44%,2.12
"create a simple card game in which there are 8 cards which are randomly 
chosen from a deck. the first card is shown face up. the game asks the 
player to predict whether the next card in the selection will have a higher 
or lower value than the currently showing card. for example, say the card 
that’s shown is a 3. the player chooses “higher,” and the next card is 
shown. if that card has a higher value, the player is correct. in this 
example, if the player had chosen “lower,” they would have been incorrect. 
if the player guesses correctly, they get 20 points. if they choose 
incorrectly, they lose 15 points. if the next card to be turned over has 
the same value as the previous card, the player is incorrect.",76,294,25.85%,2.67
keyword research using python,76,233,32.62%,1.88
how to calculate r2 score in machine learning,76,218,34.86%,2.26
python number guesser,76,143,53.15%,1.4
apriori algorithm in python,75,1893,3.96%,9.7
python projects with source code pdf,75,1585,4.73%,11.91
what is standard scaler,75,1582,4.74%,4.04
alarm clock python,75,1465,5.12%,6.7
mini batch kmeans,75,1353,5.54%,5.05
random_state 42,75,717,10.46%,5.32
why use standard scaler,75,423,17.73%,2.22
how to find missing number in list python,75,355,21.13%,2.7
netflix data analysis using python,75,352,21.31%,4.06
numpy most used functions,75,303,24.75%,3.1
c++ grade program,75,208,36.06%,1.81
comparison of classification algorithms in machine learning,75,179,41.9%,1.88
worst case best case average case,74,1827,4.05%,5.25
pandas_datareader.data,74,1009,7.33%,5.53
lstm stock prediction python,74,724,10.22%,7.19
source code game python,74,553,13.38%,5.17
print accuracy of model python,74,479,15.45%,3.64
variance vs covariance vs correlation,74,394,18.78%,2.88
missing number in array in python,74,252,29.37%,2.33
how to find missing number in python,74,178,41.57%,2.07
python alexnet,74,170,43.53%,2.77
user authentication code in python,74,165,44.85%,1
python interview questions on data types,74,162,45.68%,1.77
online payment fraud detection,73,10368,0.7%,16.88
rock paper scissors python with score,73,2578,2.83%,7.21
python stock market,73,1360,5.37%,6.4
hangman project in python,73,1090,6.7%,5.2
data.datareader python,73,253,28.85%,3.19
descriptive analysis in machine learning,73,234,31.2%,3.09
sparse pca in machine learning,73,152,48.03%,1.55
machine learning projects with source code,72,2249,3.2%,14.32
book recommender system,72,1578,4.56%,7.97
how to do rock paper scissors in python,72,711,10.13%,5.67
numpy important functions,72,484,14.88%,3.57
unsupervised learning application,72,392,18.37%,3.39
hate speech detection python,72,375,19.2%,4.42
difference between tensor and array,72,334,21.56%,1.93
guessing a number in python,72,283,25.44%,2.96
age calculator project in python,72,269,26.77%,2.47
electricity price forecasting python,72,242,29.75%,2.18
accuracy formula python,72,226,31.86%,2.2
random number game in python,72,134,53.73%,1.48
python code for weather prediction,72,115,62.61%,1.37
turtle graphics,71,10096,0.7%,10.05
when to use standardscaler,71,346,20.52%,2.43
online payment fraud detection project,71,281,25.27%,2.43
whatsapp chat analysis project,71,276,25.72%,2.7
guess a number in python,71,273,26.01%,3.22
number guessing game python project,71,263,27%,3.12
alexnet cnn python code,71,208,34.13%,2.27
oop in machine learning,71,189,37.57%,2.48
python hangman,70,2456,2.85%,9.86
bernoulli naive bayes algorithm,70,1153,6.07%,3.94
machine learning roadmap 2022,70,941,7.44%,6.12
otp generation in python,70,761,9.2%,3.67
game in python with source code,70,523,13.38%,4.27
smart fashion recommender application,70,464,15.09%,2.8
mobile price classification dataset,70,351,19.94%,3.4
unemployment analysis with python github,70,314,22.29%,4.48
qr decoder python,70,229,30.57%,2.02
how to send otp sms using python,70,224,31.25%,1.59
turtle graphics code,69,1423,4.85%,6.24
python turtle projects,69,1403,4.92%,9.53
netflix data analysis,69,1240,5.56%,7.21
water quality analysis using python,69,203,33.99%,1.73
consumer complaint classification,69,187,36.9%,2.19
create word cloud from dataframe python,69,165,41.82%,1.72
flower recognition using machine learning,68,417,16.31%,3.41
r2 ml,68,289,23.53%,2.65
python qrcode decoder,68,232,29.31%,2.62
python price elasticity,68,219,31.05%,3.78
rat in maze c++,68,184,36.96%,1.8
web scraping python projects with source code,67,1214,5.52%,7.13
"what is the average price for all the apps which have the android version 
as “4.1 and up” ?",67,628,10.67%,4.2
mini batch k-means,67,549,12.2%,4.05
what is classification report,67,368,18.21%,2.04
subarray in cpp,67,323,20.74%,3.24
how to get subarray in c++,67,290,23.1%,3.51
social media analysis using machine learning,67,208,32.21%,2.4
sarcasm detection python,67,197,34.01%,2.16
python weather prediction,67,169,39.64%,2.01
grade c++,67,158,42.41%,1.08
multinomial naive bayes classifier,66,2922,2.26%,9.47
classification_report python,66,2180,3.03%,7.2
hangman code python,66,1248,5.29%,8.51
what is standardscaler,66,1032,6.4%,3.8
python internet speed test,66,993,6.65%,6.53
stock market analysis python,66,328,20.12%,4.12
virat kohli dataset,66,320,20.62%,3.08
how to scrape table data from website using python,66,276,23.91%,4.79
animal quiz game in python,66,149,44.3%,1.42
the clever programmer python project,66,84,78.57%,1
average case time complexity,65,3631,1.79%,6.92
python project topics with source code,65,2286,2.84%,7.66
clothes recommendation system,65,804,8.08%,5.35
facebook sentiment analysis python,65,692,9.39%,4.41
one vs one and one vs all,65,631,10.3%,4.2
quiz game project in python,65,380,17.11%,5.27
how to make subarray in c++,65,363,17.91%,3.72
fake currency detection dataset,65,272,23.9%,5.21
questions on functions in c++,65,242,26.86%,2.49
api based projects for resume,65,208,31.25%,3.23
news classification using machine learning,65,188,34.57%,2.52
program to convert roman number to decimal number in python,65,183,35.52%,2.56
the card game code,65,173,37.57%,2.16
google search analysis,64,5294,1.21%,9.9
simple calculator c++,64,2459,2.6%,7.52
twitter sentiment analysis using python,64,1183,5.41%,7.48
iris flower classification using machine learning,64,991,6.46%,7.49
scrape instagram followers python,64,923,6.93%,7.33
python source code for games,64,447,14.32%,4.19
game in python source code,64,434,14.75%,4.83
quiz game code in python,64,405,15.8%,4.5
acronym python,64,390,16.41%,3.05
"create a classification model to predict whether price range of mobile 
based on certain specifications",64,383,16.71%,3.33
python mini game projects with source code,64,242,26.45%,2.59
pandas datareader example,64,215,29.77%,2.28
age calculator python project,64,197,32.49%,2.8
credit score classification machine learning,64,148,43.24%,1.08
uber trips analysis,64,116,55.17%,1.1
turtle graphics python,63,4721,1.33%,9.34
neural network classifier python,63,543,11.6%,5.61
python game with source code,63,418,15.07%,4.9
python case studies,63,309,20.39%,2.95
mini batch k means algorithm,63,287,21.95%,3.31
functions c++ practice questions,63,221,28.51%,2.01
user authentication program in python,63,204,30.88%,1.99
"write a program in python for, in array 1-100 numbers are stored, one 
number is missing how do you find it.",63,181,34.81%,2.2
number game python,63,169,37.28%,2.02
python invoice code,63,129,48.84%,2.09
write a python program that calculates number of seconds in a day,63,95,66.32%,1
train_test_split random_state=42 meaning,62,1037,5.98%,4.52
human activity recognition project with source code,62,634,9.78%,7.38
who uses python today,62,558,11.11%,3.25
time complexity calculator c++ online,62,491,12.63%,5.89
applications of unsupervised machine learning,62,381,16.27%,3.01
python code for weather forecast,62,276,22.46%,3.42
object detection python project,62,262,23.66%,3.21
music clustering,62,217,28.57%,2.01
language detection project,62,194,31.96%,2.75
sentiment analysis whatsapp,62,146,42.47%,1.61
find missing number python,62,136,45.59%,1.96
website traffic forecasting using python,62,135,45.93%,1.04
count number of words in dataframe column,62,117,52.99%,1.68
fake currency detection with machine learning,62,107,57.94%,1.71
best worst and average case,61,2241,2.72%,6.21
countryinfo python,61,551,11.07%,2.6
how to access mobile using python,61,403,15.14%,2.68
how to calculate bias and variance of a model in python,61,364,16.76%,4.41
object detection project using python,61,333,18.32%,4.12
future sales prediction python,61,247,24.7%,2.23
python game project with source code,61,164,37.2%,2.36
tensor vs ndarray,61,163,37.42%,1.11
electricity bill prediction using machine learning,61,155,39.35%,1.55
roadmap for machine learning,60,3083,1.95%,9.27
machine learning roadmap for beginners,60,2496,2.4%,8.61
simple calculator in c++,60,2174,2.76%,7.6
import pandas_datareader.data as web,60,1073,5.59%,5.31
code for rock paper scissors in python,60,704,8.52%,6.63
rock paper scissors game in python code,60,687,8.73%,6.85
amankharwal,60,497,12.07%,5.6
chat sentiment analysis,60,335,17.91%,3.68
social media machine learning projects,60,190,31.58%,1.65
earthquake prediction model with machine learning,60,162,37.04%,2.05
matplotlib important functions,60,161,37.27%,2.73
send otp to mobile number using python,60,140,42.86%,1.06
python guess the number game code,60,138,43.48%,2.07
create a number guessing game in python,60,120,50%,1.52
next word prediction python code,60,114,52.63%,1.04
guessing random number python,60,106,56.6%,1.65
random state 42,59,6126,0.96%,7.91
variance vs covariance,59,1932,3.05%,10.75
python for stock market,59,1575,3.75%,7.43
otp generator in python,59,975,6.05%,4.43
python acronym,59,774,7.62%,2.82
stress detection dataset,59,705,8.37%,6.97
pandas count words in string,59,520,11.35%,3.12
"explain what is the difference between best case scenario and worst case 
scenario of an algorithm",59,360,16.39%,4.78
traffic prediction using python,59,286,20.63%,3.09
price optimization machine learning python,59,254,23.23%,4.29
how to find accuracy of model in python,59,182,32.42%,2.35
guessing game code in python,59,126,46.83%,1.74
speedtest python,58,2787,2.08%,8.34
independent component analysis python,58,1586,3.66%,8.84
bernoulli naive bayes classifier,58,1040,5.58%,6.65
r squared machine learning,58,951,6.1%,5.85
best worst and average case time complexity,58,813,7.13%,4.73
house price prediction python,58,714,8.12%,6.74
statistics topics for data analytics,58,713,8.13%,5.02
hangman python project,58,590,9.83%,6.17
python roadmap for machine learning,58,513,11.31%,3.74
count objects in image python,58,467,12.42%,5.21
text classification project,58,462,12.55%,6.21
bugs in python,58,377,15.38%,2.98
python find missing number in list,58,347,16.71%,3.03
recommendation system data science project,58,332,17.47%,4.17
spotify machine learning project,58,241,24.07%,3.74
ipl analysis python,58,240,24.17%,3.61
python data structures coding interview questions,58,194,29.9%,4.62
plus one in python,58,187,31.02%,2.27
python code for virat kohli face,58,176,32.95%,3.46
order prediction machine learning,58,166,34.94%,1.62
calculate model accuracy python,58,132,43.94%,1.45
difference between variance and covariance,57,5690,1%,7.83
python graphics programming,57,2137,2.67%,10.54
minibatch kmeans,57,1362,4.19%,4.92
fake news detection project in python with source code,57,1356,4.2%,9.28
alarm clock in python,57,1190,4.79%,6.04
data science report example,57,1061,5.37%,6.76
business analytics roadmap,57,881,6.47%,6.45
remove odd numbers from list python,57,751,7.59%,3.74
online payment fraud detection dataset,57,619,9.21%,3.44
python contact book,57,312,18.27%,4.71
language detection python code,57,272,20.96%,4.85
movie rating analysis using python,57,114,50%,1.01
number guessing python code,57,111,51.35%,2.08
how to send otp to email using python,57,104,54.81%,1.18
water quality analysis,56,7359,0.76%,27.56
calculator c++,56,4383,1.28%,9.9
social network ads dataset,56,3704,1.51%,6.96
stratified sampling python,56,3497,1.6%,9.32
data engineer roadmap 2023,56,2451,2.28%,10.3
independent component analysis in machine learning,56,1795,3.12%,10.17
car price prediction project,56,941,5.95%,6.74
standard scaler machine learning,56,725,7.72%,3.3
variance vs correlation,56,536,10.45%,2
supermarket sales analysis,56,383,14.62%,5.34
house rent prediction dataset,56,371,15.09%,2.65
r^2 machine learning,56,364,15.38%,3.56
online payments fraud detection,56,344,16.28%,4.6
comparison of classification methods,56,219,25.57%,4.34
social media data science projects,56,216,25.93%,2.05
sub array in c++,56,212,26.42%,3.39
assumptions of machine learning algorithms,56,209,26.79%,2.97
generate text python,56,190,29.47%,3.17
bernoulli naive bayes classifier python,56,148,37.84%,2.74
resume scanner python,56,120,46.67%,1.12
card games python,56,112,50%,1.03
recession analysis using python,56,109,51.38%,1.02
fundamental of python,55,2201,2.5%,4.79
house price prediction project with source code,55,1856,2.96%,8.91
python tkinter projects with source code,55,1451,3.79%,10.39
python speed test code,55,475,11.58%,4.56
python lstm stock prediction,55,394,13.96%,6.94
bias in python,55,312,17.63%,2.73
data science dissertation topics,55,279,19.71%,6.78
python extract text from video,55,268,20.52%,5.12
unemployment analysis,55,240,22.92%,4.5
find the missing number in a list python,55,189,29.1%,2.92
economics data science projects,55,188,29.26%,1.64
passive aggressive regression,55,134,41.04%,1.63
accuracy in python code,55,132,41.67%,2.28
python username and password authentication,55,105,52.38%,1.01
how to make a rock paper scissors game in python,54,2231,2.42%,7.56
egg catcher,54,1436,3.76%,9.39
advanced python projects with source code,54,1328,4.07%,10.37
deep learning extract text from pdf python,54,720,7.5%,8.92
time series project ideas,54,590,9.15%,7.56
food recommendation system python,54,462,11.69%,4.32
contact book python,54,407,13.27%,4.89
internet speed test using python,54,334,16.17%,4.41
case study python,54,330,16.36%,3.53
number game in python,54,172,31.4%,1.7
c++ grade average program,54,160,33.75%,2.03
python gaming projects with source code,54,139,38.85%,1.45
hotel recommendation system project,54,114,47.37%,1.02
how to code rock paper scissors in python,53,1880,2.82%,7.56
google backend language,53,1743,3.04%,4.77
leetcode's interview crash course data structures and algorithms,53,1738,3.05%,7.83
convert image to array,53,1075,4.93%,4.34
two sum python solution,53,951,5.57%,7.01
quiz program in python,53,930,5.7%,6.81
age and gender recognition python,53,901,5.88%,6.01
programming language used in facebook,53,727,7.29%,2.83
descriptive model in machine learning,53,506,10.47%,3.48
random number guessing game - python using functions,53,448,11.83%,5.49
kalkulator bmi python,53,401,13.22%,5.4
contact book project in python with source code,53,340,15.59%,4.63
convert image into array python,53,250,21.2%,2.22
whatsapp group chat analysis using python,53,229,23.14%,3.24
what is pandas datareader,53,227,23.35%,2.07
fake currency detection using machine learning source code,53,215,24.65%,4.49
evaluation of academic performance project in python,53,203,26.11%,2.31
online payment fraud detection using machine learning in python,53,201,26.37%,1.8
uber trip analysis,53,147,36.05%,1.59
time complexity finder c++,53,83,63.86%,1.1
the clever programmer.com,53,64,82.81%,1
the cleverprogrammer.com,53,62,85.48%,1
python turtle,52,18228,0.29%,18.75
salary prediction,52,1180,4.41%,5.65
python text generator,52,817,6.36%,6.42
turtle graphics python code,52,740,7.03%,6.27
190 python projects with source code,52,645,8.06%,3.31
python algorithm questions,52,591,8.8%,4.77
decision boundaries in machine learning,52,496,10.48%,6.86
social media analytics project,52,448,11.61%,3.9
python code for hangman game,52,446,11.66%,5.81
data science project report examples,52,424,12.26%,4.2
landmark recognition using machine learning,52,257,20.23%,4.02
quiz game in python code,52,232,22.41%,4.29
text to handwriting using python,52,145,35.86%,1.02
decode qrcode python,52,123,42.28%,1.99
smartwatch data analysis using python,52,112,46.43%,1.01
pandas_datareader example,52,91,57.14%,1.79
turtle code,51,5852,0.87%,7.45
fundamentals of python programming,51,3993,1.28%,7.73
password strength checker python,51,2063,2.47%,9.23
rock paper scissors code in python,51,949,5.37%,7.42
python two sum,51,838,6.09%,6.87
article recommendation,51,724,7.04%,2.76
n queens problem c++,51,673,7.58%,6.3
internet speed test python,51,464,10.99%,4.65
contact book project in python pdf,51,456,11.18%,5.3
number plate detection using python project report,51,410,12.44%,6.54
r2 score in ml,51,352,14.49%,2.91
google play store sentiment analysis,51,340,15%,2.28
numpy vs tensor,51,262,19.47%,2.97
topics in statistics for data science,51,218,23.39%,3.15
function c++ questions,51,173,29.48%,2.64
function question in c++,51,161,31.68%,2.55
accuracy machine learning python,51,155,32.9%,1.81
guess the number code in python,51,122,41.8%,2.53
grading system code in c++,51,79,64.56%,1.03
python program to send otp to mobile,51,72,70.83%,1.12
python language detection,50,3697,1.35%,8.95
landmark detection deep learning,50,1848,2.71%,7.92
ml projects for resume,50,1482,3.37%,7.74
60 python projects with source code,50,1212,4.13%,4.55
fashion recommendation,50,1146,4.36%,4.13
rock paper scissor game in python,50,1061,4.71%,7.91
weather data analysis using python,50,634,7.89%,6.91
text to handwriting converter project,50,520,9.62%,6.77
pandas datareader python,50,351,14.25%,3.9
unsupervised machine learning applications,50,328,15.24%,3.67
python guess the number code,50,213,23.47%,3.39
python number game,50,138,36.23%,1.62
class balance in machine learning,50,133,37.59%,1.15
find third largest number in list python,50,132,37.88%,1.57
weather prediction python code,50,123,40.65%,1.64
python accelerometer data processing,50,97,51.55%,2.51
r2 score sklearn,49,7871,0.62%,7.92
python micro project topics with source code,49,2056,2.38%,8.68
emotion analysis from text python,49,1002,4.89%,7.51
amazon product review dataset for sentiment analysis,49,477,10.27%,7.44
roc and auc in python,49,376,13.03%,5.62
python quiz game code,49,372,13.17%,4.92
image to array in python,49,272,18.01%,2.44
fashion recommendation system python,49,178,27.53%,2.28
python emotion detection text,49,176,27.84%,4.85
weather forecast code in python,49,160,30.63%,2.53
machine learning classification algorithms comparison,49,104,47.12%,2.98
r squared in machine learning,48,1890,2.54%,6.58
credit card dataset for clustering,48,423,11.35%,4.9
netflix data analysis project report,48,375,12.8%,5.09
human activity recognition python code,48,369,13.01%,6.53
python contact book project,48,334,14.37%,4.92
why standard scaler is used,48,295,16.27%,2.07
credit scoring machine learning python,48,243,19.75%,6.4
numpy useful functions,48,166,28.92%,2.73