Transaction_ID,Transaction_Amount,Transaction_Volume,Average_Transaction_Amount,Frequency_of_Transactions,Time_Since_Last_Transaction,Day_of_Week,Time_of_Day,Age,Gender,Income,Account_Type
TX0,1024.8357076505617,3,997.2347139765764,12,29,Friday,06:00,36,Male,1436074,Savings
TX1,1013.9520646100069,4,1020.2103056961305,7,22,Friday,01:00,41,Female,627069,Savings
TX2,970.9560932988243,1,989.496603856437,5,12,Tuesday,21:00,61,Male,786232,Savings
TX3,1040.8222540475663,2,969.5224800476827,16,28,Sunday,14:00,61,Male,619030,Savings
TX4,998.7772411252968,1,1007.1110263424487,7,7,Friday,08:00,56,Female,649457,Savings
TX5,969.9873074947044,1,1018.9487964209328,6,20,Thursday,14:00,24,Male,872843,Savings
TX6,973.3175598078757,2,999.8894427535975,5,4,Tuesday,07:00,21,Male,1105889,Savings
TX7,931.1030348088759,4,992.9376669598587,10,29,Sunday,17:00,43,Male,502283,Savings
TX8,1036.9233289997705,4,1003.4273656237995,18,23,Thursday,07:00,38,Female,323247,Savings
TX9,1013.1743020115105,4,1032.8354223202816,14,25,Thursday,12:00,58,Female,1278732,Current
TX10,966.1538999847021,4,1012.2335257768174,19,11,Wednesday,16:00,25,Male,313986,Savings
TX11,1023.8021293713485,2,1026.0732253679716,11,26,Monday,06:00,26,Female,1379111,Current
TX12,955.1832408435349,3,997.7602435898611,11,24,Friday,02:00,61,Female,324538,Savings
TX13,897.7788489090043,3,1021.3896177239386,18,3,Monday,04:00,43,Male,923094,Current
TX14,998.2086980445024,1,1031.2928731162801,19,15,Tuesday,09:00,30,Male,553618,Savings
TX15,1004.3523534119086,4,994.0198529906827,17,4,Saturday,04:00,40,Female,1273548,Savings
TX16,929.0701768492221,1,1003.8067396993033,11,27,Wednesday,21:00,45,Female,343585,Current
TX17,926.6516057410237,1,1017.8525894301232,10,28,Thursday,11:00,61,Female,325939,Savings
TX18,1004.8538774674021,2,1019.3728998106578,11,28,Monday,06:00,50,Female,985440,Savings
TX19,980.3945923433921,4,970.7297010373576,17,9,Wednesday,06:00,23,Female,321959,Savings
TX20,934.5024656393763,1,1058.8732683296257,7,10,Thursday,23:00,32,Female,361087,Current
TX21,1094.3092950605264,1,1003.4915562566367,18,17,Tuesday,19:00,29,Male,365318,Savings
TX22,904.0614392350479,1,999.4697224910157,12,17,Wednesday,16:00,19,Male,1320545,Savings
TX23,977.9116988386994,4,998.3166982963764,5,1,Wednesday,01:00,61,Female,425657,Savings
TX24,1057.141140725751,3,1015.0386606537355,5,6,Friday,19:00,51,Male,1283237,Savings
TX25,1060.9025218878255,4,992.2108395139304,5,9,Thursday,05:00,33,Female,1364284,Current
TX26,979.1771818224313,4,1017.1500650317622,7,26,Wednesday,18:00,37,Female,958271,Current
TX27,1021.4006420494713,4,950.6060226986481,5,11,Thursday,17:00,40,Male,854594,Current
TX28,968.7191852383534,4,989.5507704093484,13,20,Thursday,16:00,19,Female,986976,Savings
TX29,1012.9941397124212,1,1015.6364574355462,13,3,Wednesday,15:00,33,Female,890978,Savings
TX30,985.7255349506835,1,1021.305849376919,12,20,Wednesday,16:00,25,Male,1091971,Savings
TX31,1011.3144134749438,3,1016.9480286515328,18,25,Wednesday,17:00,63,Male,1426081,Current
TX32,1052.4673696160432,1,1026.502113230284,8,1,Thursday,00:00,31,Female,1177844,Current
TX33,976.8736569899124,4,977.7500529134111,11,3,Monday,00:00,29,Male,407450,Current
TX34,931.5064471641851,2,984.5643850101349,18,6,Saturday,12:00,25,Male,1499386,Savings
TX35,903.18118950077,1,983.0528494377471,16,15,Monday,04:00,36,Male,1274339,Current
TX36,1002.0990032235012,1,997.2545636580437,16,28,Saturday,13:00,23,Female,478274,Current
TX37,1030.3064681549542,3,961.115408125008,7,28,Monday,19:00,38,Male,568246,Savings
TX38,994.4398000094866,2,965.0186113165678,13,10,Sunday,21:00,20,Female,1317703,Savings
TX39,942.61400135875,3,1027.7920565629317,15,10,Tuesday,16:00,57,Female,1323904,Current
TX40,1020.9319734586301,3,985.4364150127333,17,10,Sunday,02:00,42,Female,1097079,Savings
TX41,1001.1965907232918,1,1017.4382797762479,8,13,Thursday,00:00,25,Female,748982,Savings
TX42,1003.4175625551915,4,991.8118233885689,11,22,Wednesday,21:00,39,Male,1379600,Current
TX43,955.3439863185389,1,993.3036550521053,12,21,Thursday,11:00,61,Female,1304646,Current
TX44,1119.451797869623,3,1036.8682751664107,12,20,Friday,17:00,59,Female,1170045,Savings
TX45,994.6402762419438,3,990.2756542849376,16,26,Sunday,04:00,43,Male,1356884,Current
TX46,993.2141308840884,4,984.1298996465478,9,1,Tuesday,00:00,64,Male,1343233,Savings
TX47,984.0322461092611,1,995.9076698904482,12,13,Friday,00:00,33,Male,706716,Savings
TX48,1018.8648132730204,2,1033.0270197295897,17,23,Wednesday,11:00,43,Male,367215,Current
TX49,965.9997832941028,3,994.7318831026546,5,14,Saturday,19:00,22,Male,526507,Current
TX50,972.5373546317849,2,1021.9359250888281,18,5,Sunday,09:00,22,Female,950419,Current
TX51,1072.0636644533058,2,971.2827569764112,5,24,Friday,12:00,21,Female,851951,Savings
TX52,1009.9529847786735,1,987.9956624568241,16,27,Thursday,23:00,29,Male,836226,Current
TX53,969.2433161114335,3,1042.2263528323251,15,5,Thursday,02:00,18,Female,1386880,Savings
TX54,942.7525739964299,1,1011.8263223385596,17,12,Sunday,13:00,19,Female,1179090,Current
TX55,922.8137298654052,2,1022.3378688040335,12,29,Tuesday,09:00,43,Male,365953,Current
TX56,998.5789271200466,2,965.6715110811206,9,18,Friday,10:00,46,Male,831831,Current
TX57,1040.643105941948,1,1012.5925768384723,8,10,Friday,08:00,41,Male,1133727,Savings
TX58,1080.541015469625,4,1010.5592085405294,6,17,Sunday,23:00,40,Female,700573,Savings
TX59,2769.890232195161,3,1007.2613920667462,17,23,Monday,02:00,58,Male,1198320,Current
TX60,983.7013429509256,1,1065.079702521752,10,13,Wednesday,18:00,53,Male,709995,Savings
TX61,1019.6020944866298,3,997.5094950481263,8,19,Tuesday,14:00,33,Female,1173332,Current
TX62,1010.0953720901398,4,983.9052662984901,15,21,Thursday,20:00,40,Male,497775,Savings
TX63,965.0426710954041,3,999.8236590750838,14,5,Wednesday,22:00,46,Female,1438506,Current
TX64,1030.692067073771,1,1027.1576157619998,10,7,Saturday,12:00,57,Male,339081,Savings
TX65,1044.3100983064687,2,995.3259364137199,9,29,Friday,05:00,36,Male,1376871,Savings
TX66,927.5957829251338,4,971.8507245124689,5,7,Monday,12:00,21,Male,817923,Current
TX67,964.0777889373782,1,995.7310569657631,16,22,Sunday,09:00,43,Male,1049074,Savings
TX68,999.0491896048655,1,979.9494127072438,6,28,Saturday,19:00,45,Male,751015,Current
TX69,1016.1359280169045,1,983.4553811289535,7,13,Thursday,16:00,42,Male,513920,Current
TX70,1011.2046240905208,1,1000.2518480156359,8,3,Wednesday,19:00,35,Female,1158158,Savings
TX71,1072.5571803897521,3,1019.1854165217042,5,21,Saturday,21:00,20,Male,1498735,Current
TX72,1018.3454708548487,2,1004.1899372526472,12,6,Thursday,23:00,45,Female,1205588,Current
TX73,958.0139078909611,2,988.0121470911196,12,26,Thursday,17:00,45,Female,720571,Current
TX74,933.7194862248706,3,984.5758907683658,10,17,Monday,00:00,37,Male,1342892,Savings
TX75,955.0792664325821,2,1009.8383834301301,7,29,Saturday,17:00,22,Male,875278,Savings
TX76,1007.1025045958784,1,1020.7431692988926,11,24,Monday,21:00,18,Female,412816,Savings
TX77,1068.6188898273624,1,986.4442781401323,10,27,Wednesday,16:00,30,Male,451456,Savings
TX78,877.3867699342134,1,981.9741236267066,9,16,Sunday,05:00,45,Male,1015460,Savings
TX79,1075.8116661466947,1,1006.2491696219589,14,10,Wednesday,16:00,38,Male,1387341,Savings
TX80,957.5739650306043,4,981.2750994344409,18,1,Monday,07:00,49,Male,392193,Savings
TX81,958.6053460542144,2,993.9227112913815,14,2,Saturday,21:00,20,Female,918362,Savings
TX82,1046.853626015759,4,988.6134773890244,9,27,Monday,16:00,64,Male,839542,Current
TX83,1032.2687974792573,2,1027.372631150647,15,19,Sunday,05:00,51,Female,306949,Savings
TX84,1080.528923161165,3,1025.4798678117763,15,19,Sunday,01:00,55,Male,1274304,Current
TX85,975.6642751978625,3,1026.6889128172827,14,19,Monday,04:00,46,Male,733027,Current
TX86,1060.607821661255,1,997.1190140345096,16,20,Friday,01:00,23,Female,1354145,Savings
TX87,1056.1338842399011,4,971.17608479008,15,19,Sunday,22:00,33,Male,502846,Savings
TX88,1080.5896382859219,4,983.740889037627,12,4,Monday,02:00,49,Female,726650,Current
TX89,950.7136976832228,2,1010.0809303103568,7,19,Friday,04:00,35,Female,1459771,Current
TX90,988.2070095924662,2,998.4647218194334,5,5,Monday,11:00,43,Female,1048589,Savings
TX91,1002.8737001512148,1,954.3439501991841,15,9,Tuesday,14:00,39,Male,1227982,Savings
TX92,938.6973497900949,4,1000.8333053425076,17,17,Tuesday,03:00,18,Female,490471,Current
TX93,963.1793913871177,3,1011.5900880309971,19,24,Saturday,13:00,43,Male,1115131,Savings
TX94,968.6737908655728,1,956.1573988751604,14,14,Wednesday,23:00,24,Male,960482,Savings
TX95,1001.4310279783913,3,1019.3724631260884,16,13,Tuesday,05:00,52,Female,1121106,Savings
TX96,959.474707651039,1,981.9091623242585,16,10,Sunday,16:00,56,Female,1070173,Savings
TX97,1084.3570817536283,3,1017.632795138989,13,13,Tuesday,14:00,53,Female,326069,Current
TX98,1076.156203863483,1,1010.7782008736932,16,19,Tuesday,08:00,54,Male,1302163,Savings
TX99,1046.3088773765821,4,1038.1883328094027,15,13,Saturday,04:00,50,Female,1202580,Savings
TX100,967.4678715439087,3,990.257492324706,18,24,Sunday,08:00,20,Male,718034,Savings
TX101,1039.8742102239157,3,1002.9040812057092,10,22,Monday,23:00,55,Male,1099666,Savings
TX102,1028.317006525951,3,1016.6363635221053,12,26,Wednesday,12:00,61,Male,437541,Current
TX103,1032.0291003474576,4,983.704317440194,19,1,Tuesday,13:00,55,Female,1088260,Current
TX104,1038.2126099304512,1,1000.215963296194,15,3,Monday,05:00,27,Male,1430756,Current
TX105,1050.314640460722,1,988.462162609537,19,5,Monday,16:00,26,Male,393070,Savings
TX106,876.4177749936355,2,984.0620948905905,19,17,Friday,11:00,31,Female,1188266,Savings
TX107,1004.329489373645,2,996.8864552921584,16,29,Wednesday,08:00,54,Female,1248027,Current
TX108,984.0760744674831,1,993.6188595786731,7,27,Saturday,03:00,42,Female,1362636,Current
TX109,1085.464624736481,4,1016.4980037225747,11,8,Saturday,18:00,55,Female,1289024,Current
TX110,1000.9209189594776,1,1033.5287462455055,5,1,Sunday,22:00,19,Male,711597,Savings
TX111,885.5469371533501,3,1028.64963834905,11,19,Tuesday,19:00,32,Female,1206862,Savings
TX112,1031.6390933053142,3,1045.413857156088,15,4,Friday,05:00,50,Male,1380730,Savings
TX113,1075.4885656229812,3,1008.0406896009384,14,1,Saturday,05:00,30,Female,1420483,Savings
TX114,1112.8599140546569,3,981.3272378147415,17,8,Friday,14:00,21,Male,663339,Current
TX115,1066.521928163454,2,1039.986344124996,15,27,Friday,19:00,28,Male,688349,Savings
TX116,1008.5297101790431,4,1016.7113079669981,11,15,Tuesday,13:00,60,Male,433515,Savings
TX117,986.5582911602412,4,991.2027142476917,16,11,Thursday,11:00,53,Male,495716,Savings
TX118,1010.843051849147,2,1008.8423333062694,5,28,Sunday,08:00,46,Male,1343917,Current
TX119,950.519758987071,1,997.484261598007,14,14,Thursday,21:00,40,Male,794592,Savings
TX120,1002.7862456144347,4,1021.883830369419,19,21,Sunday,08:00,26,Male,357545,Savings
TX121,949.3947812369917,1,966.9028665626846,14,11,Saturday,01:00,24,Female,1474737,Current
TX122,1042.0263625125779,4,999.2301655996051,15,27,Thursday,18:00,41,Female,1106388,Savings
TX123,988.4532734895661,3,1013.9241272962684,15,22,Tuesday,17:00,38,Female,458768,Savings
TX124,986.5555654722584,4,977.8694818251666,19,29,Monday,06:00,18,Female,1081452,Current
TX125,931.8648198230011,4,961.7749264021195,7,29,Monday,12:00,46,Male,897135,Current
TX126,964.3577108661418,2,1002.1286045538379,7,15,Tuesday,01:00,45,Female,862288,Current
TX127,1062.3042596248815,3,958.532195351837,8,1,Friday,22:00,56,Male,1427199,Savings
TX128,1025.6897706790305,2,994.1126667796339,16,1,Sunday,22:00,45,Female,952465,Savings
TX129,987.1591486037134,1,1020.4857316355879,11,3,Sunday,07:00,64,Male,762052,Savings
TX130,1025.0238759710317,3,978.9348255871,12,2,Wednesday,23:00,31,Female,1030399,Savings
TX131,1011.7326002577544,4,1005.0551101507577,8,5,Saturday,20:00,31,Female,1068734,Savings
TX132,969.8281872548619,2,994.8575545750556,11,1,Sunday,20:00,36,Male,1237583,Current
TX133,1016.3066511121059,4,974.977728472294,6,2,Monday,14:00,22,Female,387955,Savings
TX134,1050.2551081149827,3,989.8512542818404,11,23,Thursday,19:00,22,Female,1296261,Current
TX135,968.6344729161348,1,1025.0330294279966,16,3,Thursday,21:00,61,Male,843351,Current
TX136,999.0055135254605,4,1006.672870629012,5,18,Wednesday,16:00,31,Male,859655,Savings
TX137,960.2848712418239,1,1032.4153604693454,10,22,Wednesday,13:00,21,Female,1080316,Savings
TX138,973.0120159845319,3,984.4339054919537,10,18,Friday,09:00,53,Male,488456,Savings
TX139,1020.4126377857236,1,965.9483279152432,10,26,Thursday,22:00,59,Female,1016756,Current
TX140,955.0600045878768,3,981.8073220502006,12,2,Thursday,12:00,24,Male,524137,Current
TX141,992.0949254964901,4,1016.1318649582737,18,26,Saturday,01:00,60,Male,1498898,Current
TX142,1007.3603914684801,1,995.5491705565772,9,11,Wednesday,03:00,56,Female,528071,Current
TX143,952.5300555584029,3,1052.647641296748,12,22,Saturday,04:00,50,Male,544883,Savings
TX144,1014.1779035305457,1,994.3876796767037,18,27,Friday,10:00,51,Female,799137,Current
TX145,998.2505754751519,3,1035.4160127127102,12,10,Monday,06:00,52,Male,1393762,Savings
TX146,984.6107191660094,3,986.8220315604759,15,17,Friday,16:00,27,Female,860696,Savings
TX147,2802.0978166293894,2,995.4750956198264,12,19,Sunday,20:00,34,Female,694966,Savings
TX148,1041.8848719200244,4,1027.3597061488483,13,18,Monday,11:00,32,Female,1209164,Current
TX149,984.4827192022008,4,1002.3136964398906,11,17,Sunday,20:00,39,Male,1393389,Savings
TX150,1017.876312191861,3,988.2546116446764,12,18,Wednesday,22:00,46,Male,699953,Savings
TX151,1067.8316691091727,3,945.7501901630405,5,14,Sunday,23:00,52,Male,859723,Current
TX152,947.8757562886431,3,1025.5585365847633,11,12,Sunday,14:00,21,Male,1141052,Current
TX153,1061.5080656728574,1,1016.7212210231904,17,10,Thursday,01:00,52,Male,759297,Savings
TX154,1035.6699795102722,3,1000.9403442624749,15,7,Saturday,19:00,46,Female,722845,Current
TX155,1129.8852321617192,4,986.9925811185994,19,25,Tuesday,06:00,37,Male,1492324,Current
TX156,906.9325548161588,2,994.005228467816,8,18,Saturday,04:00,42,Male,1085332,Savings
TX157,998.2657556306609,1,1004.6842946507304,13,24,Thursday,11:00,54,Male,1211420,Current
TX158,1028.1539436986286,3,969.3494531616536,12,14,Wednesday,12:00,51,Female,479352,Savings
TX159,995.1450216298339,4,1001.0863777290847,8,29,Sunday,21:00,62,Male,1251661,Savings
TX160,968.1130007874342,2,989.3800608999636,13,17,Tuesday,02:00,23,Male,1268452,Current
TX161,937.5412469337977,1,1011.4296139315397,7,20,Tuesday,16:00,59,Male,777602,Savings
TX162,1039.7953252423738,4,1020.970618770152,7,3,Saturday,12:00,64,Female,1146936,Current
TX163,1077.3752600665032,2,1035.9175534619105,15,9,Wednesday,08:00,20,Male,665464,Current
TX164,1025.336733124342,3,995.9857410332543,15,2,Thursday,14:00,55,Male,1483620,Savings
TX165,1002.2796082235025,1,987.380157402521,16,16,Friday,04:00,30,Female,869936,Savings
TX166,1045.3747384208627,3,1000.717890995354,12,8,Tuesday,07:00,44,Female,1309612,Savings
TX167,1029.1964092662981,3,992.8141581842588,12,28,Monday,15:00,58,Male,405228,Current
TX168,1025.1208316093514,2,1017.1489186343481,8,27,Saturday,06:00,22,Female,348874,Current
TX169,997.9189253353743,3,1011.1211329565771,11,10,Tuesday,10:00,47,Male,342534,Savings
TX170,1018.433665443645,2,992.1332237534527,17,29,Thursday,06:00,19,Male,788972,Savings
TX171,1009.5549534009951,1,1000.928730963123,12,2,Thursday,23:00,62,Female,558722,Current
TX172,980.4530715167388,3,986.5913686590748,14,9,Tuesday,14:00,47,Female,1299701,Savings
TX173,1008.7772914945253,2,1008.1702469675486,8,27,Monday,11:00,39,Female,626032,Current
TX174,909.5020549509647,2,1019.3002992212646,12,27,Tuesday,17:00,31,Female,1463950,Current
TX175,1018.3551133394034,3,989.4838922537409,17,11,Monday,05:00,64,Male,589226,Savings
TX176,972.2400236653401,2,1037.6231413888117,6,29,Thursday,16:00,52,Female,1224044,Savings
TX177,1004.4476136304851,1,1023.318274307428,17,11,Thursday,01:00,64,Female,614451,Savings
TX178,935.9847800664553,1,1017.4491465656029,18,12,Thursday,20:00,64,Male,1008691,Current
TX179,923.7237414537631,3,986.1618386023752,15,1,Tuesday,05:00,32,Female,1294465,Current
TX180,937.4230287904778,3,1028.8752920814652,16,16,Wednesday,07:00,63,Female,677816,Savings
TX181,1017.1362673188852,3,1009.1350643830757,15,14,Tuesday,19:00,24,Female,1346914,Savings
TX182,967.5013394068264,4,1018.744472430697,16,26,Wednesday,19:00,63,Female,1086958,Savings
TX183,948.4641248599238,1,999.0046698070183,18,12,Thursday,03:00,26,Female,1077147,Savings
TX184,1006.4052207455395,1,986.3789668505024,6,24,Wednesday,12:00,34,Male,1344244,Current
TX185,991.3482560651541,2,986.2368061979945,19,6,Wednesday,12:00,42,Female,1412864,Savings
TX186,1046.9924051764845,1,1016.9202708934254,5,12,Monday,13:00,49,Female,636585,Current
TX187,1003.1251366624738,1,984.3905198734931,17,1,Friday,19:00,43,Male,978758,Current
TX188,3094.8174151902567,3,980.4246670427749,6,10,Sunday,11:00,57,Female,1158058,Current
TX189,1085.0848104266731,3,1027.6629000174455,13,18,Thursday,07:00,25,Female,1243793,Current
TX190,1063.259862581185,3,1011.1871841745666,15,7,Wednesday,19:00,33,Female,1283939,Savings
TX191,1067.5739214736755,3,1009.2826932044661,7,9,Thursday,09:00,31,Male,673706,Current
TX192,1032.5140787479852,4,1031.3470600391881,17,25,Friday,18:00,36,Female,1499670,Savings
TX193,1083.5760117702705,1,995.9193883803788,11,21,Sunday,18:00,61,Female,1106481,Current
TX194,1025.2995554979768,3,960.0517731308098,7,28,Tuesday,18:00,52,Male,816998,Current
TX195,1054.5523051082334,3,997.7853314183861,14,29,Thursday,04:00,21,Female,926045,Savings
TX196,1011.2225909279986,4,1020.9419660522431,14,21,Tuesday,03:00,19,Female,589102,Current
TX197,991.368635002959,2,1017.6731987497335,7,19,Tuesday,21:00,29,Female,549474,Current
TX198,1073.8270174862948,3,1027.601827082949,5,3,Tuesday,07:00,53,Female,1229065,Savings
TX199,1016.1900063802973,1,994.1702004201302,13,22,Thursday,14:00,31,Female,1025495,Savings
TX200,1090.5846028059514,3,1017.6945284350827,10,17,Wednesday,01:00,52,Male,1336548,Current
TX201,1055.386022514085,4,985.8384226761171,8,13,Sunday,14:00,48,Female,1204586,Savings
TX202,992.4790072769083,4,1019.9109717072456,14,29,Tuesday,11:00,47,Male,1368392,Current
TX203,922.1709050670124,3,991.4376967806818,16,1,Monday,21:00,37,Male,516184,Savings
TX204,918.163750435033,4,1024.1138292016285,9,17,Monday,23:00,61,Male,641815,Savings
TX205,1051.514172701592,4,1004.7757831805303,15,29,Thursday,17:00,31,Male,1046788,Savings
TX206,993.4542013615126,1,979.3009027093574,15,5,Monday,16:00,31,Female,1243115,Savings
TX207,1006.9671296810632,1,1009.0506978364267,11,24,Sunday,10:00,40,Female,379141,Current
TX208,1055.4091408368758,2,979.2018814574894,16,23,Tuesday,20:00,18,Male,1325799,Current
TX209,977.0781529906541,3,988.1232698200309,10,15,Tuesday,00:00,43,Female,1473930,Current
TX210,998.455618221421,1,1040.068145343642,14,8,Sunday,07:00,29,Male,730424,Savings
TX211,1055.2762966478992,3,1023.7406061112076,19,16,Saturday,20:00,22,Male,458056,Savings
TX212,1015.1317732619517,2,984.9144829996128,10,9,Monday,08:00,42,Female,935567,Savings
TX213,983.2746246821627,3,1004.1238196405865,13,11,Thursday,01:00,55,Male,784965,Current
TX214,1045.0737314973892,1,997.2227482561066,13,23,Wednesday,12:00,28,Male,1090144,Savings
TX215,1006.024997939465,1,979.4265133374183,9,15,Monday,11:00,24,Male,964468,Current
TX216,1043.7417219134566,1,956.8603871060066,5,17,Wednesday,11:00,55,Male,934122,Current
TX217,1082.1007580068185,2,1020.1963417868527,6,14,Monday,02:00,38,Female,525049,Current
TX218,918.4663316292368,4,1003.4194194313644,19,11,Sunday,05:00,63,Female,982347,Current
TX219,1037.9464294893382,1,1005.6238284793875,8,11,Wednesday,14:00,21,Male,1070188,Current
TX220,962.3017705566662,1,994.3864984626645,8,16,Friday,19:00,63,Female,991738,Current
TX221,1002.889779279261,4,1015.3931550269125,14,4,Saturday,17:00,19,Male,1000336,Current
TX222,947.068032530146,4,1001.2633091861435,14,7,Friday,06:00,59,Female,1029532,Savings
TX223,1069.8707351530186,1,998.4971166637997,16,24,Friday,09:00,64,Female,1294170,Current
TX224,1127.3024166702237,2,1008.2611306757236,13,15,Tuesday,23:00,59,Male,818727,Current
TX225,1015.8371029402218,3,1030.1932491679208,9,4,Tuesday,23:00,36,Male,729667,Current
TX226,1090.9786523349328,2,983.4361203746847,7,4,Tuesday,00:00,22,Female,495246,Current
TX227,1025.1399615483201,1,992.7897156655222,11,21,Monday,21:00,54,Male,1441154,Savings
TX228,1048.1939558397455,2,1044.210460031827,13,14,Friday,01:00,52,Male,557681,Savings
TX229,928.219058589328,3,961.7378714964195,13,17,Wednesday,06:00,41,Female,754162,Savings
TX230,2752.6376499098665,4,1020.9147026508068,11,13,Saturday,03:00,57,Male,1460932,Savings
TX231,944.9610358581658,1,985.7740275047893,11,4,Friday,16:00,19,Female,1025947,Current
TX232,968.9090849746805,1,1014.0274612967845,12,6,Tuesday,02:00,61,Female,793948,Current
TX233,932.137238458661,2,996.2183706167625,11,12,Tuesday,05:00,34,Female,1080641,Savings
TX234,902.4440762575572,2,987.4214221762262,16,26,Thursday,04:00,30,Male,1135036,Current
TX235,950.4653805681148,4,1012.5882716977358,14,25,Sunday,15:00,29,Female,608623,Savings
TX236,1054.5655060297136,4,1012.1827624181435,18,13,Sunday,18:00,57,Female,329301,Current
TX237,1060.6548849989592,1,1002.834338272798,8,6,Saturday,17:00,25,Male,1468544,Current
TX238,1007.7713665371468,4,1049.3146791083986,6,29,Saturday,03:00,50,Female,1473057,Current
TX239,923.1774129754886,1,976.187028556426,13,1,Wednesday,02:00,40,Female,318073,Savings
TX240,1019.4289302265482,3,1049.8599903486559,10,11,Sunday,21:00,54,Female,361929,Savings
TX241,874.2480773732497,2,1000.5640542304385,6,13,Wednesday,23:00,59,Female,1290669,Current
TX242,1028.4220503128076,4,1011.9918822656299,18,9,Sunday,20:00,52,Female,1093153,Savings
TX243,978.294491025201,2,989.1244113355332,8,18,Tuesday,01:00,42,Female,1150741,Current
TX244,1045.6187306981435,1,968.0457616045318,18,16,Saturday,13:00,20,Female,990658,Savings
TX245,946.7443168462314,1,993.8955059129066,6,8,Friday,01:00,21,Female,856110,Savings
TX246,3008.497488734566,4,1010.5938550871347,16,13,Sunday,13:00,37,Male,551537,Current
TX247,1036.2883411581515,4,990.8208622835085,17,11,Saturday,01:00,40,Male,1027506,Savings
